,length,length,length,length,length_words,length_words,length_words,length_words
,mean,std,min,max,mean,std,min,max
index,,,,,,,,
0,1590.4,743.0452783742628,354,3673,232.24,109.1678281082735,48,512
1,1535.68,603.3436912705049,564,2866,223.04,85.42927854461293,74,380
2,1594.76,900.2002398559637,481,6512,219.36,89.29765862963426,72,512
3,1662.1,611.816607509546,558,3228,242.0,87.07374308420351,72,460
4,1609.12,607.4496582820166,631,3228,234.82,88.16813483339658,94,458
5,1557.98,672.8750525368961,446,3268,225.7,92.51635266375389,67,427
6,1609.16,728.9526274465472,493,3967,231.76,99.43176513754217,59,512
7,1464.5,545.9393047672936,540,2929,214.48,80.85064082893207,73,424
8,1592.78,588.2486386013371,609,3307,232.92,85.38313172795591,92,492
9,1637.4,702.8252896382584,493,4051,236.22,97.67235733694105,66,512
10,1459.12,584.1073650259436,493,3410,212.72,85.40158197645775,66,510
11,1425.32,552.3124093762698,430,2989,205.3,77.04895078017954,58,400
12,1667.64,772.9817633881231,663,5702,232.56,80.49772718302457,88,512
13,1708.26,952.378929259756,622,6758,240.56,98.90402686752569,91,512
14,1691.36,569.6459609409397,520,3112,246.62,83.24733004237237,74,472
15,1721.88,764.1642798054697,520,5716,244.24,82.7357633107488,74,512
16,1516.88,529.237558634483,387,2565,222.2,77.19336970576302,63,372
17,1594.96,540.9046451104305,736,3725,230.48,77.1479469220388,104,512
18,1527.36,541.5823287142134,266,2792,220.82,77.16446522770407,43,404
19,1501.58,520.2740678856536,404,2999,220.4,76.3915798330402,65,431
